지점명,일시,평균기온(°C),평균최저기온(°C),평균최고기온(°C)
목포,1930,13.8,10.4,18.2
제주,1930,15,11.9,18.8
강릉,1931,11.2,7.1,16.4
서울,1931,10.9,6.3,16.7
인천,1931,10.6,6.9,15
대구,1931,12.3,7.7,17.8
전주,1931,11.7,7.1,17.3
부산,1931,13.6,10.1,17.9
목포,1931,12.8,9.4,17.2
제주,1931,14.2,11,17.9
강릉,1932,11.7,7.8,17.1
서울,1932,11.6,7.2,17.5
인천,1932,11.4,7.7,15.9
대구,1932,12.5,7.5,18.7
전주,1932,12.2,7.6,18
부산,1932,13.7,10,18.2
목포,1932,13.3,10.1,17.8
제주,1932,14.4,11.2,18.2
강릉,1933,11.6,7.7,16.7
서울,1933,10.5,6.4,15.5
인천,1933,10.8,7.1,15.4
대구,1933,12.5,7.9,18.1
전주,1933,11.8,7.2,17.5
부산,1933,13.7,10.3,17.9
목포,1933,13,9.7,17.4
제주,1933,14.2,11.2,17.8
강릉,1934,11.4,7.2,16.9
서울,1934,10.1,5.8,15.1
인천,1934,10.5,6.8,15
대구,1934,12.1,7.4,18
전주,1934,11.5,7,17.4
부산,1934,12.9,9.9,17.1
목포,1934,12.8,9.6,17.2
제주,1934,14.3,11,18
강릉,1935,12.2,8,17.8
서울,1935,11.2,6.6,16.7
인천,1935,11.6,7.7,16.3
대구,1935,13,8.1,18.9
전주,1935,12.5,7.5,18.7
부산,1935,13.7,10.8,17.9
목포,1935,13.7,10.4,18.3
제주,1935,14.9,11.7,18.6
강릉,1936,11.2,6.9,16.8
서울,1936,9.8,5.3,15.1
인천,1936,10,6.3,14.5
대구,1936,11.5,6.8,17.2
전주,1936,11.3,6.6,17.3
부산,1936,12.5,9.5,16.8
목포,1936,12.4,9.2,16.8
제주,1936,13.8,10.6,17.5
강릉,1937,12.3,8,17.7
서울,1937,11.4,6.9,16.8
인천,1937,11.7,7.9,16.3
대구,1937,12.7,8,18.3
전주,1937,12.7,8.1,18.5
부산,1937,14.1,11,18.4
목포,1937,13.8,10.4,18.3
제주,1937,15,11.9,18.7
강릉,1938,12.2,8,17.8
서울,1938,10.9,6.4,16.3
인천,1938,11.1,7.4,15.8
대구,1938,12.4,7.5,18.2
전주,1938,12.1,7.5,17.9
부산,1938,13.6,10.5,18.2
목포,1938,13.1,9.9,17.7
제주,1938,14.4,11.2,18.2
강릉,1939,12.5,8,18.2
서울,1939,11.7,6.7,17.6
인천,1939,11.9,7.9,16.9
울릉도,1939,12.4,10,15.5
대구,1939,12.9,7.6,19.2
전주,1939,12.7,7.6,19
부산,1939,14.1,10.9,18.9
목포,1939,13.7,10.3,18.7
제주,1939,14.7,11.5,18.6
강릉,1940,12.2,7.4,17.8
서울,1940,10.8,6,16.3
인천,1940,10.7,7,15.3
울릉도,1940,11.9,9.3,15
대구,1940,12.4,7.2,18.4
전주,1940,12,7,18
광주,1940,12,6.8,18.1
부산,1940,13.8,10.2,18.4
목포,1940,13.4,9.8,18.2
제주,1940,14.5,11.1,18.4
강릉,1941,11.9,7.4,17.3
서울,1941,11.1,6.3,16.8
인천,1941,11.3,7.3,16.1
울릉도,1941,11.9,9.4,15
대구,1941,12.3,7.3,18.2
전주,1941,12.2,7.4,18
광주,1941,12.3,7.5,18.1
부산,1941,13.8,10.4,18.5
목포,1941,13.4,9.8,18.2
제주,1941,14.5,11.1,18.4
강릉,1942,12.7,8.1,17.9
서울,1942,10.9,5.9,16.6
인천,1942,11,7.1,16.1
울릉도,1942,12.2,9.7,15.4
대구,1942,12.6,7.4,18.8
전주,1942,12.2,7.4,17.9
광주,1942,12.4,7.3,18.5
부산,1942,13.8,10.3,18.6
목포,1942,13.6,9.8,18.7
제주,1942,14.8,11.4,18.8
강릉,1943,12.5,8.1,17.4
서울,1943,11.7,6.4,17.8
인천,1943,11.7,7.6,17
울릉도,1943,12,9.6,15.2
대구,1943,12.7,7.5,18.8
전주,1943,12.3,7.5,18.2
광주,1943,12.3,7.1,18.6
부산,1943,13.8,10.4,18.7
목포,1943,13.7,10,19
여수,1943,13.8,10.7,17.6
제주,1943,14.5,11.2,18.3
강릉,1944,12,7.9,16.8
서울,1944,10.9,6,16.6
인천,1944,11,7.2,16
울릉도,1944,11.9,9.3,15.2
대구,1944,12.6,7.5,18.7
전주,1944,12.1,7.3,18
광주,1944,12.3,7.2,18.3
부산,1944,13.7,10.2,19
목포,1944,13.4,9.9,18.5
여수,1944,13.5,10.5,17.4
제주,1944,14.6,11.4,18.4
강릉,1945,11.3,7.2,16
서울,1945,10.4,5.7,16
인천,1945,10.4,6.4,15.4
울릉도,1945,11,8.4,14.2
대구,1945,12,7,18
전주,1945,11.6,6.9,17.4
광주,1945,11.9,7,17.7
부산,1945,13.2,9.7,18.2
목포,1945,12.8,9.3,17.9
여수,1945,13.2,10.4,16.8
제주,1945,14.3,11,18.2
강릉,1946,12.3,8,16.9
서울,1946,11.3,6.6,16.9
인천,1946,11.6,7.6,16.8
울릉도,1946,12.3,9.7,15.7
대구,1946,12.7,8,18.5
전주,1946,12.7,8.1,18.3
울산,1946,13.3,8.8,18.9
광주,1946,13,8.4,18.7
부산,1946,14,10.6,18.7
목포,1946,13.7,10.2,18.5
여수,1946,13.8,10.8,17.6
제주,1946,15.1,11.7,19.1
강릉,1947,10.5,6.3,15.3
서울,1947,9.6,5,14.8
인천,1947,9.7,6,14.6
울릉도,1947,10.5,7.7,13.9
대구,1947,11.4,6.6,17.3
전주,1947,11.3,6.8,16.9
울산,1947,11.8,7.3,17.5
광주,1947,11.7,7.1,17.4
부산,1947,12.6,9,17.5
목포,1947,12.3,8.9,17.2
