지점명,일시,평균기온(°C),평균최저기온(°C),평균최고기온(°C)
산청,1973,13.2,8.2,19
거제,1973,13.9,9.4,18.4
남해,1973,14,9.3,19
속초,1974,11,7.5,14.4
대관령,1974,5.6,0.4,11
춘천,1974,9.9,4.8,16
강릉,1974,11.6,7.8,16
서울,1974,11.1,7.2,15.9
인천,1974,10.6,7.2,14.6
원주,1974,9.4,4,15.7
울릉도,1974,11.2,8.6,14.8
수원,1974,10.2,5,15.9
충주,1974,10.1,4.5,16.3
서산,1974,10.7,6.3,16.2
울진,1974,11.7,7.1,16.6
청주,1974,10.4,5.5,16.2
대전,1974,10.9,6.4,16.6
추풍령,1974,10.8,6,16.4
안동,1974,11,5.5,17.4
포항,1974,12.7,8.3,17.8
군산,1974,11.7,8.2,15.7
대구,1974,12.6,7.6,18.3
전주,1974,12.2,7.6,17.6
울산,1974,12.9,8.2,18.1
광주,1974,12.5,7.9,17.9
부산,1974,13.6,10.4,17.7
통영,1974,13.7,10.1,17.9
목포,1974,13,9.6,17.6
여수,1974,13.4,10.3,17.2
완도,1974,13.2,8.7,17.1
제주,1974,14.8,11.4,18.2
성산,1974,14.5,10.5,18.1
성산,1974,14.5,10.5,18.1
서귀포,1974,15.5,12.1,19
진주,1974,12.8,7.7,18.3
강화,1974,9.8,5.1,15
양평,1974,9.6,3.9,16
이천,1974,9.9,4.6,15.5
인제,1974,8.9,3.2,15.2
홍천,1974,9.1,3.6,16.5
삼척,1974,11.4,6.9,16.6
제천,1974,9.1,3.6,15.2
보은,1974,9.9,3.7,16.1
천안,1974,10.6,5.5,16.2
보령,1974,10.9,6.2,16.1
부여,1974,11.1,5.7,16.9
금산,1974,10.5,5,16.4
부안,1974,11.3,6.8,16.5
임실,1974,10.6,4.5,16.5
정읍,1974,11.7,6.5,17.1
남원,1974,11.7,6.2,18.5
주암,1974,11.9,6.9,17.7
장흥,1974,12.3,7.5,18.1
해남,1974,12.7,8.2,17.7
고흥,1974,12.9,7.6,18.6
성산포,1974,14.5,10.5,18.1
영주,1974,10,4.3,16.7
문경,1974,11.3,5.7,17.4
영덕,1974,11.9,7.1,17.1
의성,1974,10.5,4.6,17.4
구미,1974,11.2,5.7,17.3
영천,1974,11.6,6.2,17.8
거창,1974,10.8,5.3,17.1
합천,1974,12.1,7,18.1
밀양,1974,12.3,6.7,18.5
산청,1974,12.1,6.9,18.1
거제,1974,13.1,8.7,17.6
남해,1974,13,8.3,18.1
속초,1975,12.2,8.7,15.4
대관령,1975,6.6,1.8,11.6
춘천,1975,11.3,6.4,17.2
강릉,1975,12.7,9,16.8
서울,1975,12.5,8.6,17.4
인천,1975,11.9,8.7,16.2
원주,1975,11.1,5.9,17.2
울릉도,1975,12.3,9.9,15.5
수원,1975,11.6,6.7,17.1
충주,1975,11.7,6.6,17.5
서산,1975,12.3,8,17.9
울진,1975,12.9,8.6,17.2
청주,1975,12.1,7.5,17.5
대전,1975,12.3,8,17.8
추풍령,1975,11.9,7.5,17.1
안동,1975,12.2,7,18.3
포항,1975,13.8,10,18.4
군산,1975,13,9.7,16.8
대구,1975,13.5,9.2,18.8
전주,1975,13.2,9.1,18.7
울산,1975,13.8,9.8,18.5
광주,1975,13.5,9.5,18.6
부산,1975,14.5,11.6,18.3
통영,1975,14.6,11.3,18.7
목포,1975,14.1,10.9,18.5
여수,1975,14.3,11.4,17.9
완도,1975,14.2,10.2,17.9
제주,1975,15.7,12.6,18.8
성산,1975,15.6,12,18.7
성산,1975,15.6,12,18.7
서귀포,1975,16.2,13.1,19.5
진주,1975,13.8,9.1,19.3
강화,1975,11.2,6.4,16.4
양평,1975,11.2,5.7,17.7
이천,1975,11.4,6.3,17.2
인제,1975,10.1,5,16.3
홍천,1975,10.6,5.3,17.7
삼척,1975,12.1,8.1,17.2
제천,1975,10.6,5.2,16.7
보은,1975,11.3,5.6,17
천안,1975,12,7.1,17.5
보령,1975,12.3,8.1,17.1
부여,1975,12.4,7.7,18.1
금산,1975,11.8,6.8,17.4
부안,1975,12.8,8.1,17.6
임실,1975,11.3,5.7,17.4
정읍,1975,12.8,8,18.2
남원,1975,12.6,7.6,18.8
주암,1975,12.9,8.1,18.7
장흥,1975,13.4,8.8,18.8
해남,1975,13.7,9.8,18.5
고흥,1975,14.1,9.3,19.2
성산포,1975,15.6,12,18.7
영주,1975,11.6,6.2,17.5
문경,1975,12.5,7.4,18.3
영덕,1975,13.1,8.8,17.8
의성,1975,11.9,6.3,18.3
구미,1975,12.6,7.7,18.1
영천,1975,12.8,7.9,18.5
거창,1975,11.9,6.8,17.7
합천,1975,13.4,8.5,18.9
밀양,1975,13.4,8.1,19.2
산청,1975,13.1,8.3,18.8
거제,1975,14.2,10.2,18.1
남해,1975,14.1,9.3,19
속초,1976,11.9,8.4,15.4
대관령,1976,5.9,0.8,11.2
춘천,1976,10.4,5.3,16.1
강릉,1976,12.4,8.3,16.8
서울,1976,11.5,7.4,16.4
인천,1976,11,7.6,15.3
원주,1976,10.3,4.8,16.5
울릉도,1976,11.6,9.1,14.9
수원,1976,10.6,5.7,16.1
충주,1976,10.6,5.3,16.5
서산,1976,11.4,6.7,16.8
울진,1976,12.2,7.5,16.9
청주,1976,11.1,6.1,16.9
대전,1976,11.4,6.8,17.1
추풍령,1976,11,6.2,16.4
안동,1976,11.2,5.5,17.5
포항,1976,12.9,8.5,17.8
군산,1976,12.1,8.7,16.3
대구,1976,12.6,7.9,18.3
전주,1976,12.5,7.9,18.1
울산,1976,12.9,8.5,18
광주,1976,12.6,8.4,18
부산,1976,13.7,10.3,17.7
통영,1976,13.6,10.2,17.8
목포,1976,13.1,9.8,17.7
여수,1976,13.3,10.1,17.1
완도,1976,13.2,9.3,17.2
제주,1976,14.7,11.3,17.9
성산,1976,14.4,10.3,18.1
성산,1976,14.4,10.3,18.1
서귀포,1976,15.3,12,18.8
진주,1976,12.7,7.7,18.5
강화,1976,10.2,5.2,15.5
양평,1976,10.1,4.7,16.4
이천,1976,10.5,5.2,16.2
인제,1976,9.3,4.2,15.5
홍천,1976,9.6,4.1,16.6
삼척,1976,12.1,7.3,17.2
제천,1976,9.6,3.9,15.9
보은,1976,10.2,4.2,16.4
천안,1976,11,5.6,16.7
보령,1976,11.3,6.7,16.3
부여,1976,11.5,6.4,17.3
금산,1976,11.1,5.6,17
부안,1976,11.6,6.7,17.2
임실,1976,10.4,5,16.6
정읍,1976,12.1,6.9,17.6
남원,1976,11.6,6.2,18.1
주암,1976,11.8,6.6,17.9
장흥,1976,12.2,7.2,18.1
해남,1976,12.5,8,17.9
고흥,1976,12.9,7.8,18.4
성산포,1976,14.4,10.3,18.1
영주,1976,10.5,4.9,16.7
문경,1976,11.5,6.4,17.4
영덕,1976,12.2,7.5,17.4
의성,1976,10.8,4.7,17.5
구미,1976,11.4,6.2,17.3
영천,1976,11.8,6.5,17.9
거창,1976,10.9,5.5,16.8
합천,1976,12.3,7.2,18.1
밀양,1976,12.3,6.8,18.5
산청,1976,12.1,7,18.1
거제,1976,13,8.7,17
남해,1976,13,8.1,18.2
속초,1977,11.9,8.7,15.4
대관령,1977,6.7,1.2,12.4
춘천,1977,11,5.8,17.2
강릉,1977,12.6,8.6,17.3
서울,1977,12.3,8.1,17.3
인천,1977,11.6,8,16.1
원주,1977,10.6,4.8,17.2
울릉도,1977,12.2,9.6,15.4
수원,1977,11.3,6.1,17.2
충주,1977,11.2,5.1,17.8
서산,1977,11.9,7.1,17.6
울진,1977,12.6,7.8,17.5
청주,1977,11.9,6.7,18.1
대전,1977,12.2,7.4,18.1
추풍령,1977,11.9,7,17.5
안동,1977,12,6.5,18.7
포항,1977,13.6,9.2,18.8
군산,1977,12.7,9.2,17.4
대구,1977,13.5,8.6,19.3
전주,1977,13.1,8.5,19.2
울산,1977,13.6,9.3,18.7
광주,1977,13.4,9,19.1
부산,1977,14.2,10.8,18.4
통영,1977,14.2,10.7,18.6
목포,1977,13.8,10.4,18.8
여수,1977,14,10.8,17.8
완도,1977,13.7,9.9,17.8
제주,1977,15.2,11.9,18.4
성산,1977,15.1,11,18.7
성산,1977,15.1,11,18.7
서귀포,1977,15.9,12.6,19.5
진주,1977,13.5,8.5,19.3
강화,1977,10.9,5.6,16.5
양평,1977,10.9,4.9,17.6
이천,1977,11.3,5.6,17.6
인제,1977,10,4.4,16.7
홍천,1977,10.3,4.5,17.8
삼척,1977,12,7.3,17.4
제천,1977,10.4,4.4,17
보은,1977,10.8,4.8,17.5
천안,1977,11.7,6.3,17.6
보령,1977,12,6.9,17.3
부여,1977,12.1,6.8,18.4
금산,1977,11.7,6,18
부안,1977,12.3,7.2,18
임실,1977,11,5.2,17.8
정읍,1977,12.9,7.7,18.5
남원,1977,12.4,6.6,19.4
주암,1977,12.5,6.5,18.9
장흥,1977,12.9,7.8,19
해남,1977,13.2,8.6,18.6
고흥,1977,13.7,8.3,19.4
성산포,1977,15.1,11,18.7
영주,1977,11.3,5.4,17.9
문경,1977,12.5,7.3,18.5
영덕,1977,12.7,8,17.9
의성,1977,11.5,5.1,18.8
구미,1977,12.2,6.7,18.5
영천,1977,12.3,6.8,18.7
거창,1977,11.7,5.9,18
합천,1977,13,7.6,19
밀양,1977,13.1,7.3,19.4
산청,1977,13,7.6,19.3
거제,1977,13.7,9.6,17.9
남해,1977,13.8,8.9,18.9
속초,1978,12.7,9.4,16.5
대관령,1978,7.1,1.9,12.4
춘천,1978,11.1,6.1,17.2
강릉,1978,13.5,9.4,18.3
서울,1978,12.4,8.4,17.2
인천,1978,11.9,8.5,16.2
원주,1978,11,5.5,17.5
울릉도,1978,12.9,10.2,16.3
수원,1978,11.7,6.6,17.5
충주,1978,11.7,6,18
서산,1978,12.4,7.9,17.8
울진,1978,13,9,17.2
청주,1978,12.2,6.9,18.5
대전,1978,12.6,7.8,18.4
추풍령,1978,12.4,7.3,17.9
포항,1978,14.3,9.8,19.6
군산,1978,13.1,9.6,17.8
대구,1978,14.2,9.2,20
전주,1978,13.4,8.7,19.3
울산,1978,14.4,9.6,19.8
광주,1978,13.8,9.3,19.7
부산,1978,14.9,11.4,19.3
통영,1978,14.8,11.2,19.2
목포,1978,14.3,10.9,19.4
여수,1978,14.5,11.4,18.6
완도,1978,14.3,10.2,18.7
제주,1978,15.8,12.4,19
성산,1978,15.5,11.4,19.6
성산,1978,15.5,11.4,19.6
서귀포,1978,16.5,13,20.2
진주,1978,13.9,8.5,20
강화,1978,11.3,6.3,16.6
양평,1978,11.2,5.5,17.7
이천,1978,11.6,6,17.6
인제,1978,10.4,5,16.6
홍천,1978,10.6,5,17.8
삼척,1978,12.7,7.9,18.2
제천,1978,10.8,5.1,16.9
보은,1978,11.2,5.1,17.8
천안,1978,12.1,6.7,18
보령,1978,12.4,7.2,17.7
부여,1978,12.3,7,18.6
금산,1978,11.9,6.3,18.4
부안,1978,12.8,7.7,18.5
임실,1978,11.3,5.1,18.1
정읍,1978,13.3,7.8,19.1
남원,1978,12.9,6.4,19.8
주암,1978,12.8,6.8,19.4
장흥,1978,13.4,8,19.6
해남,1978,13.9,9,19.5
고흥,1978,14.2,8.5,20.3
성산포,1978,15.5,11.4,19.6
영주,1978,12,6.3,18.4
문경,1978,12.9,7.9,18.8
영덕,1978,13.5,8.5,19.1
의성,1978,12,5.7,19.1
구미,1978,12.8,7.3,19.1
영천,1978,13,7,19.6
거창,1978,12.2,6.2,18.9
합천,1978,13.5,8,19.7
밀양,1978,13.7,7.7,20.2
산청,1978,13.4,7.9,19.9
거제,1978,14.3,9.6,18.8
남해,1978,14.4,9.3,19.8
속초,1979,13.2,9.7,16.8
대관령,1979,7,2,12.2
춘천,1979,11.2,6.2,17.2
강릉,1979,13.6,9.4,18.3
서울,1979,12.5,8.6,17.2
인천,1979,12.1,8.8,16.5
원주,1979,10.9,5.5,17.2
울릉도,1979,12.8,10.2,16
수원,1979,11.7,6.8,17.7
충주,1979,11.4,6.1,17.6
서산,1979,12.3,7.9,17.4
울진,1979,13.2,9.3,17.3
청주,1979,12,7.1,18.1
대전,1979,12.4,7.6,18.1
추풍령,1979,12,6.9,17.4
포항,1979,14,9.9,19.1
군산,1979,13,9.4,17.4
대구,1979,13.7,8.9,19.3
전주,1979,13.2,8.6,18.5
울산,1979,14.1,9.3,19.4
광주,1979,13.6,8.9,19.3
부산,1979,14.8,11.4,18.9
통영,1979,14.6,11,19
목포,1979,14.1,10.7,19.1
여수,1979,14.4,11.3,18.4
완도,1979,14.3,10.2,18.4
제주,1979,15.8,12.3,19.1
성산,1979,15.5,11.4,19.4
성산,1979,15.5,11.4,19.4
서귀포,1979,16.5,12.9,20.2
진주,1979,13.6,8.3,19.7
강화,1979,11.4,6.2,16.8
양평,1979,11.1,5.6,17.4
이천,1979,11.5,6.4,17.2
인제,1979,10.5,5.2,16.5
홍천,1979,10.6,4.9,17.9
삼척,1979,12.7,8.2,17.7
제천,1979,10.6,5,16.9
보은,1979,10.9,5,17.5
천안,1979,11.9,6.9,17.6
보령,1979,12.3,7.7,17.5
부여,1979,12.3,7.2,18.4
금산,1979,11.6,6.3,18
부안,1979,12.6,7.6,18.1
임실,1979,11,5.2,17.8
정읍,1979,13.1,7.7,18.8
남원,1979,12.4,6.1,19.3
주암,1979,12.5,7.1,19.3
장흥,1979,12.8,7.6,19.3
해남,1979,13.6,8.8,19.3
고흥,1979,13.9,8.4,19.9
성산포,1979,15.5,11.4,19.4
영주,1979,11.6,6,18.1
문경,1979,12.4,7.2,18.4
영덕,1979,13.4,8.5,18.7
의성,1979,11.5,5.4,18.7
구미,1979,12.2,7,18.5
영천,1979,12.8,6.8,19.2
거창,1979,11.6,5.8,18.4
합천,1979,12.9,7.6,19.1
밀양,1979,13.2,7.5,19.8
산청,1979,12.9,7.4,19.4
거제,1979,14.2,9.6,18.8
남해,1979,14.2,9.4,19.4
속초,1980,11.5,8,15.4
대관령,1980,5.6,0.7,10.7
춘천,1980,9.8,4.4,16.1
강릉,1980,12.1,8,16.8
서울,1980,10.8,6.8,15.7
인천,1980,10.5,7.1,14.6
원주,1980,9.2,3.7,15.5
울릉도,1980,11.2,8.6,14.3
수원,1980,10,5.1,15.7
충주,1980,9.8,4.3,16.1
서산,1980,10.7,6.3,15.9
울진,1980,11.5,7.6,15.7
청주,1980,10.5,5.6,16.5
대전,1980,11,6.3,16.6
추풍령,1980,10.6,6,15.8
포항,1980,12.7,8.4,17.7
군산,1980,11.5,8,15.7
대구,1980,12.5,8,17.9
전주,1980,11.9,7.5,17
울산,1980,12.7,8.2,17.9
광주,1980,12.3,7.9,17.5
부산,1980,13.3,9.9,17.4
통영,1980,13.2,9.6,17.6
목포,1980,12.8,9.5,17.3
여수,1980,13,10,16.7
완도,1980,13,9.2,16.9
제주,1980,14.6,11.3,17.7
성산,1980,14.4,10.7,17.9
성산,1980,14.4,10.7,17.9
서귀포,1980,15.3,12,18.8
진주,1980,12.6,7.8,18.2
강화,1980,9.9,4.5,15.6
양평,1980,9.5,3.8,15.8
이천,1980,9.9,4.7,15.7
인제,1980,8.9,3.1,15.1
홍천,1980,9.1,3.2,16.5
삼척,1980,11.4,6.9,16.2
제천,1980,9.4,3.3,15.7
보은,1980,9.6,3.7,16
천안,1980,10.2,5.2,15.9
보령,1980,10.8,6,15.9
부여,1980,10.8,5.6,17
금산,1980,10.4,5,16.5
부안,1980,11.3,6.3,16.5
임실,1980,9.6,3.7,16.2
정읍,1980,11.6,6.6,17.3
남원,1980,11.2,5.3,17.5
주암,1980,11.5,6.7,17.7
장흥,1980,11.8,7,17.9
해남,1980,12.4,8.1,17.3
고흥,1980,12.7,7.6,18.3
성산포,1980,14.4,10.7,17.9
영주,1980,10.4,4.9,16.6
문경,1980,11.1,6.2,16.7
영덕,1980,11.9,7.1,17.4
의성,1980,10.2,4,17.1
구미,1980,10.9,5.8,16.9
영천,1980,11.4,5.7,17.8
거창,1980,10.6,5.3,16.8
합천,1980,11.9,6.8,17.8
밀양,1980,12,6.5,18.3
산청,1980,11.8,6.8,17.7
거제,1980,12.9,8.4,17.5
남해,1980,13,8.5,17.7
속초,1981,11.2,7.3,15.3
대관령,1981,5.9,0.6,11.5
춘천,1981,9.8,4.5,16.4
강릉,1981,12,7.9,16.7
서울,1981,11.2,7.2,15.8
인천,1981,10.7,7.4,14.6
원주,1981,9.3,3.6,15.9
울릉도,1981,11.4,8.6,14.7
수원,1981,10.1,5.1,15.8
충주,1981,10,4.3,16.6
서산,1981,10.9,6.4,16.1
울진,1981,11.3,7.2,15.6
청주,1981,10.8,5.6,17.2
대전,1981,11.4,6.4,17
추풍령,1981,11.1,6.3,16.1
포항,1981,12.8,8.5,17.9
군산,1981,11.8,8.1,16.2
대구,1981,12.9,8,18.5
전주,1981,12,7.4,17.6
울산,1981,13.1,8.3,18.6
광주,1981,12.7,8.2,18
부산,1981,13.6,10,18
통영,1981,13.5,9.8,18
목포,1981,13,9.7,17.9
여수,1981,13.4,10.2,17.2
완도,1981,13.1,9.1,17.3
제주,1981,15,11.7,18
성산,1981,14.8,10.7,18.5
성산,1981,14.8,10.7,18.5
서귀포,1981,15.8,12.2,19.5
진주,1981,12.2,6.7,18.3
강화,1981,10.1,4.8,15.2
양평,1981,9.4,3.3,16.2
이천,1981,10,4.5,16.1
인제,1981,9.1,3,15.7
홍천,1981,9.2,3.2,17
삼척,1981,11.2,6.2,16.1
제천,1981,9,3.1,15.4
보은,1981,9.8,3.6,16.3
천안,1981,10.5,5.2,16.4
보령,1981,11.1,6.2,16.4
부여,1981,10.8,5.3,17.2
금산,1981,10.6,5,17
부안,1981,11.5,6,16.9
임실,1981,9.8,3.7,16.5
정읍,1981,11.8,6.7,17.7
남원,1981,11.4,5.9,18.1
주암,1981,11.8,6.5,18.1
장흥,1981,12,7,18.5
해남,1981,12.8,8.2,17.9
고흥,1981,13,7.6,18.9
성산포,1981,14.8,10.7,18.5
영주,1981,10.7,4.8,17
문경,1981,11.6,6.3,17.4
영덕,1981,11.9,6.8,17.7
의성,1981,10.4,3.9,17.9
구미,1981,11.3,5.9,17.5
영천,1981,11.7,5.6,18.1
거창,1981,10.7,5,17.2
합천,1981,12,6.6,18.4
밀양,1981,12,6.1,18.8
산청,1981,12.3,7,18.3
거제,1981,13.1,8.1,17.8
남해,1981,13.4,8.6,18.6
속초,1982,12.3,8.6,16.2
대관령,1982,6.6,1.4,12.2
춘천,1982,11,5.6,17.8
강릉,1982,13.1,8.9,17.7
서울,1982,12.5,8.3,17.4
인천,1982,11.9,8.5,16.3
원주,1982,10.6,4.7,17.4
울릉도,1982,12.6,9.9,16
수원,1982,11.4,6.4,17.2
충주,1982,11.3,5.6,18.2
서산,1982,12,7.2,17.6
울진,1982,12.6,8.4,16.9
청주,1982,12.1,6.7,18.3
대전,1982,12.5,7.4,18.6
추풍령,1982,12,6.9,17.4
포항,1982,13.9,9.6,18.9
군산,1982,13,9,17.4
대구,1982,13.7,8.8,19.5
전주,1982,13.1,8.3,18.9
울산,1982,13.9,9.3,19.3
광주,1982,13.6,8.8,19.3
부산,1982,14.4,10.9,18.8
통영,1982,14.4,10.9,18.9
목포,1982,13.9,10.4,19.1
여수,1982,14.2,11.1,18.1
완도,1982,14,10.1,18.3
제주,1982,15.4,12.1,18.7
성산,1982,15.2,11,19
성산,1982,15.2,11,19
서귀포,1982,16.2,12.8,19.9
진주,1982,12.8,7.3,19.5
강화,1982,11.2,5.8,16.7
양평,1982,11.1,5.2,17.9
이천,1982,11.3,5.8,17.8
인제,1982,10.1,3.8,17
홍천,1982,10.3,4.1,18.5
삼척,1982,12.7,7.5,17.4
제천,1982,10.2,4.3,17.1
보은,1982,10.9,4.3,17.8
천안,1982,11.6,5.9,17.8
보령,1982,12.3,7.2,17.8
부여,1982,12.2,6.8,18.7
금산,1982,11.6,5.8,18.4
부안,1982,12.5,7.9,17.8
임실,1982,10.8,5.1,17.9
정읍,1982,12.8,7.6,18.9
남원,1982,12.3,6.3,19.3
주암,1982,12.4,7,19.1
장흥,1982,12.9,7.4,19.6
해남,1982,13.5,8.7,19
고흥,1982,13.7,8.2,19.9
성산포,1982,15.2,11,19
영주,1982,11.3,5.1,18.2
문경,1982,12.5,6.8,18.7
영덕,1982,12.8,7.8,18.3
의성,1982,11.4,4.7,19.1
구미,1982,12.3,6.6,18.8
영천,1982,12.2,6.6,19.1
거창,1982,11.4,5.6,18.4
합천,1982,12.7,7.2,19.3
밀양,1982,13.2,7.2,20
산청,1982,13,7.4,19.9
거제,1982,13.9,9.1,18.6
남해,1982,14.2,9.7,19.6
속초,1983,11.8,8.2,15.6
대관령,1983,6.5,1.3,11.5
춘천,1983,11.1,5.9,17.1
강릉,1983,12.6,8.7,17.2
서울,1983,12.4,8.3,16.9
인천,1983,11.8,8.6,15.9
원주,1983,10.6,5.1,17.1
울릉도,1983,12.4,9.9,15.8
수원,1983,11.4,6.8,16.8
충주,1983,11.4,6.1,17.8
서산,1983,12,7.5,17.1
울진,1983,12.3,8.1,16.7
청주,1983,12,7.3,17.9
대전,1983,12.5,7.8,18.1
추풍령,1983,11.8,7.2,17
안동,1983,11.5,6.3,17.7
포항,1983,13.6,9.4,18.4
군산,1983,12.8,9.3,17.3
대구,1983,13.5,8.7,19
전주,1983,13,8.5,18.5
울산,1983,13.7,9.1,19
광주,1983,13.5,9.3,18.8
부산,1983,14.3,10.8,18.6
통영,1983,14.1,10.7,18.6
목포,1983,13.9,10.4,18.8
여수,1983,14,11,17.8
완도,1983,14.3,11.5,17.4
제주,1983,15.6,12.4,18.8
성산,1983,15.3,11.4,19
성산,1983,15.3,11.4,19
서귀포,1983,16,12.7,19.7
진주,1983,12.7,7.4,19.1
강화,1983,11.1,6.3,16.2
양평,1983,10.8,5.4,17.3
이천,1983,11.3,6.2,17.4
인제,1983,9.9,4.4,16.4
홍천,1983,10.3,4.4,18
삼척,1983,12.3,7.2,17.1
제천,1983,10.3,4.9,16.9
보은,1983,10.8,5.1,17.2
천안,1983,11.6,6.2,17.4
보령,1983,12.1,7.7,17.4
부여,1983,12,7.2,18.3
금산,1983,11.8,6.2,18.1
부안,1983,12.5,8.1,17.5
임실,1983,10.8,5.2,17.5
정읍,1983,12.8,7.8,18.5
남원,1983,12.3,7,18.9
주암,1983,12.4,7.2,18.9
장흥,1983,12.8,7.9,19.3
해남,1983,13.5,9,18.8
고흥,1983,13.7,8.5,19.5
성산포,1983,15.3,11.4,19
영주,1983,11,5.1,17.4
문경,1983,12.3,7.1,18.1
영덕,1983,12.6,7.8,18
의성,1983,11.2,4.6,18.6
구미,1983,12.2,7.1,18.2
영천,1983,12.1,6.8,18.5
거창,1983,11.5,5.9,18.3
합천,1983,12.6,7.4,18.9
밀양,1983,13,7.2,19.3
산청,1983,12.8,7.7,19.4
거제,1983,13.8,9.4,18.4
남해,1983,14,9.9,19.3
속초,1984,11.2,7.8,14.7
대관령,1984,5.9,0.9,10.9
춘천,1984,10.5,5.1,16.7
강릉,1984,11.9,8.1,16.4
서울,1984,11.6,7.6,16.5
인천,1984,11.2,7.9,15.3
원주,1984,9.8,4,16.6
울릉도,1984,11.5,9,14.7
관악산,1984,8.8,5.4,13.3
수원,1984,10.8,6.1,16.3
충주,1984,10.7,5,17.3
서산,1984,11.3,6.7,16.6
울진,1984,11.4,7.3,15.8
청주,1984,11.4,6.3,17.6
대전,1984,11.9,6.9,17.6
추풍령,1984,11.2,6.4,16.6
안동,1984,11,5.8,17
포항,1984,13.1,8.8,17.9
군산,1984,12.3,8.6,16.8
대구,1984,13.2,8.4,18.6
전주,1984,12.6,7.8,18.1
울산,1984,13.3,8.7,18.5
광주,1984,13.1,8.8,18.3
부산,1984,13.9,10.4,18.2
통영,1984,13.8,10.3,18.3
목포,1984,13.3,9.7,18.5
여수,1984,13.6,10.5,17.4
완도,1984,13.7,11,16.8
제주,1984,14.8,11.9,18
성산,1984,14.8,10.8,18.5
성산,1984,14.8,10.8,18.5
서귀포,1984,15.6,12.3,19.4
진주,1984,12.5,6.6,18.9
강화,1984,10.5,5.4,15.7
양평,1984,10.1,4.3,17.1
이천,1984,10.7,5.6,16.9
인제,1984,9.3,3.6,16.1
홍천,1984,9.6,3.4,17.8
삼척,1984,11.4,6.5,16.3
제천,1984,9.6,4,16.4
보은,1984,10.2,4.2,16.9
천안,1984,11.2,5.9,17.1
보령,1984,11.6,6.9,16.7
부여,1984,11.5,6.3,17.9
금산,1984,11.3,5.4,17.6
부안,1984,12,7.2,17.5
임실,1984,10.4,4.6,17.2
정읍,1984,12.4,7.1,18.4
남원,1984,11.9,6.4,18.5
주암,1984,12,6.9,18.5
장흥,1984,12.4,7.3,18.7
해남,1984,12.9,8,18.1
고흥,1984,13.2,7.9,19
성산포,1984,14.8,10.8,18.5
영주,1984,10.5,4.4,16.8
문경,1984,11.7,6.4,17.6
영덕,1984,11.9,7,17.3
의성,1984,10.6,4,18.2
구미,1984,11.7,6.1,18
영천,1984,11.8,6.2,18.5
거창,1984,11.1,5.4,17.8
합천,1984,12.2,6.7,18.7
밀양,1984,12.4,6.6,19
산청,1984,12.3,7,19
거제,1984,13.6,9,18.2
남해,1984,13.7,9.4,19.1
속초,1985,11.9,8.5,15.3
대관령,1985,6.5,1.8,11.3
춘천,1985,10.8,5.8,16.6
강릉,1985,12.7,8.8,17.1
서울,1985,11.6,7.7,16.2
인천,1985,11.2,8,15.2
원주,1985,10.3,5,16.4
울릉도,1985,12.1,9.5,15.2
관악산,1985,8.9,5.3,13.2
수원,1985,11.3,6.7,16.3
충주,1985,11.1,6.1,17.1
서산,1985,11.6,7.4,16.6
울진,1985,12.2,8.2,16.4
청주,1985,11.8,7,17.5
대전,1985,12.2,7.6,17.4
추풍령,1985,11.3,6.8,16.4
안동,1985,11.3,6.4,17
포항,1985,13.7,9.8,18.1
군산,1985,12.5,8.8,17
대구,1985,13.5,9,18.6
전주,1985,12.8,8.3,18
울산,1985,13.7,9.4,18.5
광주,1985,13.3,9.2,18.1
부산,1985,14.2,10.9,18.4
통영,1985,14.1,10.7,18.4
목포,1985,13.5,10.1,18.2
여수,1985,13.8,10.8,17.4
완도,1985,14,11.4,17.1
제주,1985,15.4,12.4,18.6
성산,1985,15.3,11.4,18.8
성산,1985,15.3,11.4,18.8
서귀포,1985,16.1,13,19.7
진주,1985,12.8,7.3,18.6
강화,1985,10.6,5.5,15.6
양평,1985,10.6,5.1,16.9
이천,1985,11,6.2,16.6
인제,1985,9.7,4.3,15.9
홍천,1985,10.1,4.1,17.6
삼척,1985,12.2,7.4,16.8
제천,1985,10.1,4.8,16.3
보은,1985,10.7,5.1,16.6
천안,1985,11.5,6.7,16.9
보령,1985,12,7.7,16.7
부여,1985,11.9,7.2,17.6
금산,1985,11.5,6.4,17.3
부안,1985,12.3,7.8,17.2
임실,1985,10.7,5.6,17.1
정읍,1985,12.7,7.7,18.1
남원,1985,12.2,7.3,18.2
주암,1985,12.4,7.7,18.6
장흥,1985,12.9,8.2,18.7
해남,1985,13.2,8.7,18.1
고흥,1985,13.5,8.5,19
성산포,1985,15.3,11.4,18.8
영주,1985,10.7,5.4,16.5
문경,1985,12,7.2,17.3
영덕,1985,12.6,7.9,17.8
의성,1985,11.1,5.3,17.7
구미,1985,12,7,17.6
영천,1985,12.3,7.1,18.4
거창,1985,11.3,6.1,17.7
합천,1985,12.6,7.5,18.7
밀양,1985,12.9,7.6,18.9
산청,1985,12.6,7.6,18.9
거제,1985,13.9,9.6,18.3
남해,1985,14,9.9,19.1
속초,1986,10.5,7.2,14.2
대관령,1986,5.7,0.8,10.6
춘천,1986,10.3,5.1,16.4
강릉,1986,11.6,7.7,16.1
서울,1986,11.2,7.4,15.7
인천,1986,10.9,7.7,14.7
원주,1986,10,4.9,16
울릉도,1986,11.2,8.3,14.6
관악산,1986,8.7,4.9,12.9
